ANVENDELSE,TID,TIMELOEN_KR
010000,1966,1.3640237621750992
010000,1967,1.4592599677167124
010000,1968,1.537552072860186
010000,1969,1.6356563836973654
010000,1970,1.5878015873643894
010000,1971,1.8180675416580254
010000,1972,1.9027205009176293
010000,1973,2.151539353456147
010000,1974,2.5905281549543813
010000,1975,3.075695647987676
010000,1976,3.5579804256945837
010000,1977,3.9107819339637016
010000,1978,4.5829730462263925
010000,1979,5.419098451327433
010000,1980,6.248356641620843
010000,1981,7.029675140158207
010000,1982,7.9288928149268525
010000,1983,9.275319985476765
010000,1984,10.547728152724702
010000,1985,12.06834630377377
010000,1986,13.42998777819038
010000,1987,15.113275621211955
010000,1988,16.218275178061383
010000,1989,17.58068981620468
010000,1990,18.47522208674447
010000,1991,19.578523179132326
010000,1992,20.581916159929133
010000,1993,20.647431881862193
010000,1994,22.079767866485856
010000,1995,23.628678360762674
010000,1996,25.274350039584164
010000,1997,28.77152379074982
010000,1998,29.70926559293576
010000,1999,30.67594562647754
010000,2000,32.82448664608777
010000,2001,34.329076735721706
010000,2002,36.29421094914067
010000,2003,41.32168820828776
010000,2004,42.434205294783986
010000,2005,45.708610695289366
010000,2006,48.67395488033369
010000,2007,51.17476540241002
010000,2008,59.99536550362441
010000,2009,65.570523259236
010000,2010,72.45894273485202
010000,2011,74.2553353580069
010000,2012,76.18105159766776
010000,2013,79.03493155019302
010000,2014,84.40925813666674
010000,2015,90.82295546184862
010000,2016,97.68190939428969
010000,2017,102.92497620695622
010000,2018,108.92073970349627
010000,2019,117.00194085680006
010000,2020,124.30237454673063
010000,2021,116.84143131372346
010000,2022,127.31764705882352
100010,1966,9.216974697652754
100010,1967,10.411097721297109
100010,1968,11.457496430271298
100010,1969,12.608079280117913
100010,1970,14.664263508229864
100010,1971,17.620518941765813
100010,1972,19.62774002298897
100010,1973,24.297908725661895
100010,1974,29.647301160248865
100010,1975,36.443817164363885
100010,1976,40.13842737922058
100010,1977,44.658488740093645
100010,1978,49.18637361515291
100010,1979,54.37227490468277
100010,1980,58.16030221106499
100010,1981,63.89433062026382
100010,1982,69.087000622421
100010,1983,75.25962467693
100010,1984,81.58017367768129
100010,1985,88.98252553015575
100010,1986,94.61884642052348
100010,1987,110.58329848041267
100010,1988,116.25957244655582
100010,1989,118.81974758363411
100010,1990,127.78547042875792
100010,1991,134.0221659443371
100010,1992,137.89287105570702
100010,1993,139.01495312418163
100010,1994,142.95250639958246
100010,1995,141.96169482576556
100010,1996,146.8351049105907
100010,1997,150.83212601078168
100010,1998,164.12877939529676
100010,1999,170.09132928186253
100010,2000,170.16147922583667
100010,2001,180.04806001641072
100010,2002,189.12916642086012
100010,2003,195.77045082576998
100010,2004,199.31174315344964
100010,2005,216.71660965135746
100010,2006,221.17370404553145
100010,2007,237.28403043324005
100010,2008,248.2752928008954
100010,2009,244.9188926663429
100010,2010,253.10416930146283
100010,2011,252.68279153766767
100010,2012,257.0713785864241
100010,2013,275.12278936017253
100010,2014,283.55808505220267
100010,2015,288.4448251860577
100010,2016,315.2252116245215
100010,2017,317.3487148238423
100010,2018,332.76662241398384
100010,2019,357.9639444216451
100010,2020,319.93727845608504
100010,2021,347.8570219123506
100010,2022,357.9912327961992
100030,1966,9.503334757039129
100030,1967,10.699046261412619
100030,1968,11.872134038800704
100030,1969,13.35821667343848
100030,1970,14.7409677790123
100030,1971,17.128031037827352
100030,1972,19.624511801664116
100030,1973,22.26157734652787
100030,1974,26.82868775446289
100030,1975,34.082201999104875
100030,1976,38.09913771864991
100030,1977,44.81766367396348
100030,1978,51.69122732350907
100030,1979,56.11381539631662
100030,1980,61.78266718986491
100030,1981,70.03923063390604
100030,1982,78.5304593465979
100030,1983,82.20538343738956
100030,1984,87.41318931210915
100030,1985,93.24872796118801
100030,1986,96.39974952290076
100030,1987,113.53565118626956
100030,1988,115.00407264722067
100030,1989,132.09979340136482
100030,1990,137.93983669961324
100030,1991,146.5589519650655
100030,1992,151.31624923640805
100030,1993,158.04563452117307
100030,1994,165.01794370884886
100030,1995,166.2573030596705
100030,1996,175.4044855259387
100030,1997,188.74722325754752
100030,1998,195.78971997886632
100030,1999,203.948101362149
100030,2000,202.84798818232977
100030,2001,199.5602601356026
100030,2002,213.00105764145957
100030,2003,228.63782614573475
100030,2004,239.93661628473916
100030,2005,245.3789503995393
100030,2006,263.8347923861537
100030,2007,277.54149159663865
100030,2008,276.100439634765
100030,2009,277.65311630260607
100030,2010,285.4149510631117
100030,2011,286.73214285714283
100030,2012,298.49650945002554
100030,2013,294.8144438084335
100030,2014,296.2156907856897
100030,2015,306.47915613946435
100030,2016,334.8417618270799
100030,2017,348.8336673346693
100030,2018,359.39148101443186
100030,2019,359.9600137883489
100030,2020,362.952587481518
100030,2021,383.88489073097213
100030,2022,380.7223450163141
100040,1966,7.697065439672801
100040,1967,8.663272945051654
100040,1968,9.623001887264378
100040,1969,11.025839611349715
100040,1970,12.306865089278277
100040,1971,14.34720189736085
100040,1972,16.091510035043008
100040,1973,19.147134976922214
100040,1974,23.587036797563115
100040,1975,28.18785501333752
100040,1976,31.51743817374762
100040,1977,35.59489253707669
100040,1978,39.92746190640564
100040,1979,44.82675766331241
100040,1980,50.56296944996463
100040,1981,56.91147984742754
100040,1982,61.88932882160051
100040,1983,68.11933608796134
100040,1984,73.04613372853282
100040,1985,77.08655620241827
100040,1986,81.01310347224636
100040,1987,91.46810543776144
100040,1988,97.42373133219408
100040,1989,103.92729964693822
100040,1990,110.56881388621022
100040,1991,113.39092050758187
100040,1992,114.65773672938656
100040,1993,116.6153533947933
100040,1994,120.10632606937735
100040,1995,121.9305072031698
100040,1996,128.5624116815827
100040,1997,134.47638620408992
100040,1998,139.14789902179933
100040,1999,141.5822755644925
100040,2000,148.5229380538285
100040,2001,156.38928742228597
100040,2002,164.21213498935708
100040,2003,177.2748438132051
100040,2004,183.6571526508227
100040,2005,193.04109455167358
100040,2006,204.23683185668386
100040,2007,216.49170698889955
100040,2008,225.31052250012945
100040,2009,236.21185207188475
100040,2010,239.6871756626581
100040,2011,244.7053130489543
100040,2012,246.1421960008479
100040,2013,247.47792333818538
100040,2014,250.92942489023247
100040,2015,248.42960491659346
100040,2016,256.47736682787655
100040,2017,264.3854441146059
100040,2018,274.22334448160535
100040,2019,274.90384019287063
100040,2020,284.91881228529644
100040,2021,285.17105489588715
100040,2022,295.32677928551647
REST_A,1966,10.122109416456658
REST_A,1967,11.37778328099666
REST_A,1968,12.804207109781094
REST_A,1969,14.576334979691602
REST_A,1970,16.456236715347636
REST_A,1971,18.856511687823357
REST_A,1972,21.203234333317177
REST_A,1973,24.595791630092883
REST_A,1974,29.28932880337903
REST_A,1975,34.792292780989676
REST_A,1976,38.802498335450984
REST_A,1977,43.639486746448
REST_A,1978,48.50194474167076
REST_A,1979,53.664612854899076
REST_A,1980,58.598776004905105
REST_A,1981,65.49589239883377
REST_A,1982,73.43929524963455
REST_A,1983,80.3821884713361
REST_A,1984,85.46777395363513
REST_A,1985,90.68218292891211
REST_A,1986,94.78351885549797
REST_A,1987,105.05172205118645
REST_A,1988,112.42285957864844
REST_A,1989,118.7292820363909
REST_A,1990,125.24836582588712
REST_A,1991,130.8066814641553
REST_A,1992,133.91600211878782
REST_A,1993,137.05923903838388
REST_A,1994,142.32388436360003
REST_A,1995,146.2193307452858
REST_A,1996,152.81972871502967
REST_A,1997,155.5477020343936
REST_A,1998,160.44016269638072
REST_A,1999,164.86200286159803
REST_A,2000,169.1234470387622
REST_A,2001,175.66631664619172
REST_A,2002,182.6253301060936
REST_A,2003,189.14675839247388
REST_A,2004,195.74444964769523
REST_A,2005,202.7929533941104
REST_A,2006,209.01774647451793
REST_A,2007,220.53509636654994
REST_A,2008,229.5168170415995
REST_A,2009,237.93765190816526
REST_A,2010,244.54977322956765
REST_A,2011,245.4627344302153
REST_A,2012,252.36408107328714
REST_A,2013,256.0157626568842
REST_A,2014,262.00803628886274
REST_A,2015,267.48757085691307
REST_A,2016,270.1196750272695
REST_A,2017,276.27083408299933
REST_A,2018,285.98242524250725
REST_A,2019,292.8181388183688
REST_A,2020,307.81731476848665
REST_A,2021,306.63356119733317
REST_A,2022,315.470907543765
