BEHOLD,BRANCHE,TID,INDHOLD
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1982,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1983,265387.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1983,59268.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1983,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1983,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1984,264710.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1984,60351.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1984,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1984,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1985,266226.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1985,61829.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1985,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1985,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1986,266885.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1986,63940.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1986,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1986,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1987,266110.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1987,66178.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1987,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1987,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1988,264303.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1988,68823.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1988,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1988,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1989,267224.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1989,71028.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1989,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1989,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1990,270771.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1990,72698.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1990,
