TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,2002,
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1980,-815.579
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1980,-674.877
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1980,20.124
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1980,24.302
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1980,59.38
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1980,49.835
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1980,-32.027
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1980,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1980,-21.161
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1980,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1980,-177.436
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1980,
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1999,-950.913
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1999,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1999,2.818
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1999,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1999,-82.862
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1999,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2018,10.472
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2018,2.363
Moms,100010 Slagterier- (Anvendelse),Løbende priser,2018,5.07
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,2018,3.568
Moms,100030 Mejerier- (Anvendelse),Løbende priser,2018,9.455
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,2018,6.892
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2018,1175.711
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2018,1173.83
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,2018,93.822
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,2018,100.903
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,2018,186.387
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,2018,215.36
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1994,4135.673
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1994,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1994,5751.98
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1994,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1994,2280.713
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1994,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,977.894
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1973,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1973,1179.299
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1973,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1973,519.652
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1973,
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,-844.176
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,-970.548
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1988,-297.968
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1988,-359.358
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1988,6.102
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1988,7.278
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,-603.88
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1988,-94.094
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1988,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1988,-191.15
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1988,
