TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1976,0.384
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1976,0.32
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1976,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1976,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1976,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1976,0.0
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1978,137.649
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1978,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1978,-3.458
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1978,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1978,-55.039
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1978,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1985,1.742
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1985,1.526
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1985,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1985,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1985,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1985,0.0
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1985,-1507.84
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1985,-1816.756
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1985,19.357
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1985,23.174
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1985,-133.579
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1985,-160.718
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1979,1959.546
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1979,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1979,2224.696
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1979,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1979,1032.887
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1979,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1979,0.735
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1979,0.605
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1979,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1979,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1979,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1979,0.0
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1976,-765.608
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1976,-640.425
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1976,-176.168
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1976,-211.509
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1976,0.449
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1976,0.538
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1985,-517.239
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1985,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1985,-47.557
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1985,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1985,-69.61
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1985,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1997,4670.539
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1997,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1997,5372.037
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1997,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1997,2532.044
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1997,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1997,8.167
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1997,9.134
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1997,5.909
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1997,5.68
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1997,4.24
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1997,4.083
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1979,-929.919
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1979,-902.194
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1979,32.977
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1979,37.612
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1979,25.95
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1979,31.058
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,7.542
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,6.78
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1987,4.9
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1987,4.333
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1987,0.476
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1987,0.485
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,-1366.859
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,-1635.418
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1976,180.823
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1976,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1976,-12.703
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1976,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1976,-4.732
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1976,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1993,9.293
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1993,9.726
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1993,4.739
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1993,5.643
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1993,5.139
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1993,3.809
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1992,4461.048
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1992,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1992,5309.565
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1992,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1992,2477.047
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1992,
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1987,5.115
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1987,6.187
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1987,-371.322
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1987,-307.134
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,-245.161
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1987,-30.679
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1987,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1987,-13.413
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1987,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1978,1741.626
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1978,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1978,1926.827
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1978,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1978,971.64
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1978,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1991,4396.886
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1991,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1991,5133.317
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1991,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1991,2382.902
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1991,
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1993,-1667.394
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1993,-2237.344
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1993,3.098
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1993,3.101
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1993,108.696
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1993,100.623
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,4121.889
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1987,4759.284
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1987,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1987,1799.313
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1987,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1978,0.554
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1978,0.463
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1978,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1978,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1978,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1978,0.0
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1991,9.222
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1991,9.289
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1991,9.161
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1991,8.948
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1991,2.476
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1991,2.42
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1991,-508.188
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1991,-469.974
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1991,-82.036
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1991,-99.342
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1991,232.598
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1991,245.053
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1992,13.457
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1992,9.545
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1992,3.757
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1992,3.273
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1992,3.21
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1992,3.031
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1993,-673.534
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1993,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1993,-141.363
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1993,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1993,-292.777
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1993,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1976,1451.962
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1976,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1976,1572.744
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1976,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1976,773.222
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1976,
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1969,-123.77
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1969,-149.754
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1969,-180.196
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1969,-188.777
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1969,-348.372
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1969,-291.759
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1991,-535.276
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1991,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1991,-93.759
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1991,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1991,-163.446
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1991,
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1989,-583.432
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1989,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1989,-149.422
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1989,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1989,-226.363
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1989,
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1992,-759.151
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1992,-1400.867
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1992,-52.93
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1992,-59.089
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1992,232.366
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1992,291.105
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1992,-793.641
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1992,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1992,-264.456
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1992,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1992,-441.71
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1992,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2000,4891.505
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2000,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,2000,5811.525
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,2000,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,2000,2883.687
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,2000,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2000,10.359
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2000,9.069
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1969,130.852
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1969,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1969,2.167
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1969,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1969,2.325
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1969,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1989,4216.412
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1989,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1989,4904.998
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1989,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1989,2110.03
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1989,
Moms,100010 Slagterier- (Anvendelse),Løbende priser,2000,7.204
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,2000,6.983
Moms,100030 Mejerier- (Anvendelse),Løbende priser,2000,5.64
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,2000,5.471
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2000,-1771.46
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2000,-1639.181
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,2000,70.927
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,2000,67.437
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,2000,168.413
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,2000,161.193
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2000,-978.86
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2000,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1969,871.674
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1969,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1969,650.123
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1969,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1969,361.647
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1969,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1969,0.124
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1969,0.104
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1969,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1969,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1969,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1969,0.0
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1989,9.126
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1989,9.591
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1989,5.924
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1989,5.302
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1989,2.088
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1989,1.758
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1989,-437.785
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1989,-513.037
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1989,-42.37
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1989,-50.872
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1989,299.378
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1989,249.395
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1993,4251.905
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1993,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1993,5308.425
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1993,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1993,2355.038
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1993,
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1995,4274.168
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1995,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1995,5377.509
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1995,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1995,2401.753
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1995,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,2000,9.294
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,2000,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,2000,-60.593
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,2000,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1995,8.508
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1995,7.565
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1995,5.043
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1995,4.599
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1995,5.004
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1995,4.934
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1995,-1830.159
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1995,-1766.265
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1995,26.714
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1995,22.228
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1995,105.586
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1995,110.613
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2010,7144.017
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2010,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,2010,6003.884
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,2010,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,2010,3382.738
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,2010,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2010,13.748
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2010,13.036
Moms,100010 Slagterier- (Anvendelse),Løbende priser,2010,3.384
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,2010,3.359
Moms,100030 Mejerier- (Anvendelse),Løbende priser,2010,1.281
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,2010,1.273
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1972,881.245
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1972,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1972,973.32
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1972,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1972,462.275
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1972,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1972,0.198
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1972,0.186
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1972,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1972,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1972,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1972,0.0
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1990,4242.65
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1990,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1990,5090.462
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1990,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1990,2246.902
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1990,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1990,9.201
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1990,8.612
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1990,8.681
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1990,7.713
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1990,2.484
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1990,2.054
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1995,-1051.554
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1995,
