SOCIO,BRANCHE,TID,INDHOLD
Samlede præsterede timer (1000 timer),100010 Slagterier,1997,35616
Samlede præsterede timer (1000 timer),100030 Mejerier,1997,13415
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1998,160810
Samlede præsterede timer (1000 timer),100010 Slagterier,1998,35720
Samlede præsterede timer (1000 timer),100030 Mejerier,1998,13249
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1999,152280
Samlede præsterede timer (1000 timer),100010 Slagterier,1999,35049
Samlede præsterede timer (1000 timer),100030 Mejerier,1999,13141
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2000,149020
Samlede præsterede timer (1000 timer),100010 Slagterier,2000,34153
Samlede præsterede timer (1000 timer),100030 Mejerier,2000,14216
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2001,145343
Samlede præsterede timer (1000 timer),100010 Slagterier,2001,34124
Samlede præsterede timer (1000 timer),100030 Mejerier,2001,14454
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2002,145637
Samlede præsterede timer (1000 timer),100010 Slagterier,2002,33902
Samlede præsterede timer (1000 timer),100030 Mejerier,2002,15128
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2003,134391
Samlede præsterede timer (1000 timer),100010 Slagterier,2003,33605
Samlede præsterede timer (1000 timer),100030 Mejerier,2003,14794
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2004,133301
Samlede præsterede timer (1000 timer),100010 Slagterier,2004,32206
Samlede præsterede timer (1000 timer),100030 Mejerier,2004,14357
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2005,125588
Samlede præsterede timer (1000 timer),100010 Slagterier,2005,27478
Samlede præsterede timer (1000 timer),100030 Mejerier,2005,13891
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2006,117953
Samlede præsterede timer (1000 timer),100010 Slagterier,2006,26004
Samlede præsterede timer (1000 timer),100030 Mejerier,2006,12451
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2007,114771
Samlede præsterede timer (1000 timer),100010 Slagterier,2007,25367
Samlede præsterede timer (1000 timer),100030 Mejerier,2007,11424
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2008,109397
Samlede præsterede timer (1000 timer),100010 Slagterier,2008,25017
Samlede præsterede timer (1000 timer),100030 Mejerier,2008,11828
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2009,101938
Samlede præsterede timer (1000 timer),100010 Slagterier,2009,24708
Samlede præsterede timer (1000 timer),100030 Mejerier,2009,11857
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2010,98594
Samlede præsterede timer (1000 timer),100010 Slagterier,2010,23721
Samlede præsterede timer (1000 timer),100030 Mejerier,2010,11852
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2011,97135
Samlede præsterede timer (1000 timer),100010 Slagterier,2011,23256
Samlede præsterede timer (1000 timer),100030 Mejerier,2011,11872
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2012,95702
Samlede præsterede timer (1000 timer),100010 Slagterier,2012,22864
Samlede præsterede timer (1000 timer),100030 Mejerier,2012,11746
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2013,94814
Samlede præsterede timer (1000 timer),100010 Slagterier,2013,20865
Samlede præsterede timer (1000 timer),100030 Mejerier,2013,10482
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2014,95678
Samlede præsterede timer (1000 timer),100010 Slagterier,2014,19635
Samlede præsterede timer (1000 timer),100030 Mejerier,2014,8693
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2015,97467
Samlede præsterede timer (1000 timer),100010 Slagterier,2015,18677
Samlede præsterede timer (1000 timer),100030 Mejerier,2015,7916
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2016,91694
Samlede præsterede timer (1000 timer),100010 Slagterier,2016,18547
Samlede præsterede timer (1000 timer),100030 Mejerier,2016,9195
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2017,92464
Samlede præsterede timer (1000 timer),100010 Slagterier,2017,18052
Samlede præsterede timer (1000 timer),100030 Mejerier,2017,8483
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2018,89982
Samlede præsterede timer (1000 timer),100010 Slagterier,2018,18078
Samlede præsterede timer (1000 timer),100030 Mejerier,2018,7137
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2019,85014
Samlede præsterede timer (1000 timer),100010 Slagterier,2019,17057
Samlede præsterede timer (1000 timer),100030 Mejerier,2019,8703
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2020,85490
Samlede præsterede timer (1000 timer),100010 Slagterier,2020,20312
Samlede præsterede timer (1000 timer),100030 Mejerier,2020,10145
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2021,86997
Samlede præsterede timer (1000 timer),100010 Slagterier,2021,20080
Samlede præsterede timer (1000 timer),100030 Mejerier,2021,10616
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2022,84490
Samlede præsterede timer (1000 timer),100010 Slagterier,2022,20417
Samlede præsterede timer (1000 timer),100030 Mejerier,2022,9501
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1966,3785957
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1967,3763454
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1968,3736627
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1969,3756574
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1970,3781149
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1971,3733886
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1972,3692693
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1973,3651295
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1974,3601508
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1975,3411451
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1976,3505454
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1977,3449679
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1978,3441074
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1979,3475002
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1980,3506550
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1981,3386283
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1982,3430094
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1983,3423120
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1984,3473836
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1985,3542305
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1986,3653921
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1987,3594115
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1988,3542410
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1989,3498896
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1990,3456792
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1991,3416796
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1992,3434039
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1993,3377148
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1994,3361848
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1995,3421627
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1996,3451426
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1997,3558800
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1998,3649989
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1999,3734976
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2000,3793076
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2001,3844537
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2002,3829072
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2003,3794352
