TID,INDHOLD
1990,0.0
1991,0.0
1992,754.0
1993,2848.0
1994,4133.0
1995,4854.0
1996,4700.0
1997,4686.0
1998,4726.0
1999,4614.0
2000,4660.0
2001,5044.0
2002,4992.0
2003,5006.0
2004,5046.0
2005,6583.0
2006,6981.0
2007,6895.0
2008,7273.0
2009,7105.0
2010,6779.0
2011,6562.0
2012,6866.0
2013,6945.0
2014,6363.0
2015,5886.0
2016,5893.0
2017,5501.0
2018,6344.0
2019,5568.0
2020,5740.0
2021,5405.0
2022,5404.0
