ANVENDELSE,TID,TIMELOEN_KR
01000,1966,1.3640237621750992
01000,1967,1.4592599677167124
01000,1968,1.537552072860186
01000,1969,1.6356563836973654
01000,1970,1.5878015873643894
01000,1971,1.8180675416580254
01000,1972,1.9027205009176293
01000,1973,2.151539353456147
01000,1974,2.5905281549543813
01000,1975,3.075695647987676
01000,1976,3.5579804256945837
01000,1977,3.9107819339637016
01000,1978,4.5829730462263925
01000,1979,5.419098451327433
01000,1980,6.248356641620843
01000,1981,7.029675140158207
01000,1982,7.9288928149268525
01000,1983,9.275319985476765
01000,1984,10.547728152724702
01000,1985,12.06834630377377
01000,1986,13.42998777819038
01000,1987,15.113275621211955
01000,1988,16.218275178061383
01000,1989,17.58068981620468
01000,1990,18.47522208674447
01000,1991,19.578523179132326
01000,1992,20.581916159929133
01000,1993,20.647431881862193
01000,1994,22.079767866485856
01000,1995,23.628678360762674
01000,1996,25.274350039584164
01000,1997,28.77152379074982
01000,1998,29.70926559293576
01000,1999,30.67594562647754
01000,2000,32.82448664608777
01000,2001,34.329076735721706
01000,2002,36.29421094914067
01000,2003,41.32168820828776
01000,2004,42.434205294783986
01000,2005,45.708610695289366
01000,2006,48.67395488033369
01000,2007,51.17476540241002
01000,2008,59.99536550362441
01000,2009,65.570523259236
01000,2010,72.45894273485202
01000,2011,74.2553353580069
01000,2012,76.18105159766776
01000,2013,79.03493155019302
01000,2014,84.40925813666674
01000,2015,90.82295546184862
01000,2016,97.68190939428969
01000,2017,102.92497620695622
01000,2018,108.92073970349627
01000,2019,117.00194085680006
01000,2020,124.30237454673063
01000,2021,116.84143131372346
01000,2022,127.31764705882352
10120,1966,9.716200323101777
10120,1967,10.902022457630965
10120,1968,12.10079208391808
10120,1969,13.537388709519618
10120,1970,15.364450607475254
10120,1971,18.049069103722555
10120,1972,20.494036050658863
10120,1973,24.72586185812276
10120,1974,30.01773033372721
10120,1975,36.61947802725005
10120,1976,40.569400061849294
10120,1977,45.33384014470338
10120,1978,50.6283550857802
10120,1979,56.14245659369567
10120,1980,61.69722333024589
10120,1981,68.57487413090385
10120,1982,74.79837942527082
10120,1983,81.1896213811484
10120,1984,86.67280687486445
10120,1985,91.70165837250659
10120,1986,96.22369253976592
10120,1987,108.62775766731272
10120,1988,114.16315433147994
10120,1989,119.69999625454138
10120,1990,126.98592611402233
10120,1991,131.78802478698682
10120,1992,135.2905323772614
10120,1993,137.34957295801757
10120,1994,142.05216653765706
10120,1995,142.64079792211146
10120,1996,147.9377532167328
10120,1997,153.1900666632741
10120,1998,163.48697238144865
10120,1999,162.29581010146134
10120,2000,166.9943222990426
10120,2001,173.53199015687483
10120,2002,182.16736200944067
10120,2003,194.04885189904303
10120,2004,200.4581758144858
10120,2005,210.91346095717884
10120,2006,221.0233616377317
10120,2007,235.3834711838952
10120,2008,243.23716025612325
10120,2009,248.45074501321798
10120,2010,257.61761404482337
10120,2011,256.070165148138
10120,2012,262.2059710865084
10120,2013,266.7161140197789
10120,2014,270.46881554921754
10120,2015,271.26801028499284
10120,2016,288.3473721061203
10120,2017,293.822229836427
10120,2018,303.7399403076452
10120,2019,311.3809429325844
10120,2020,309.4277283612726
10120,2021,320.70290432801823
10120,2022,327.89005317932293
REST,1966,10.064338132137882
REST,1967,11.318129081206072
REST,1968,12.74220878997763
REST,1969,14.51587899814021
REST,1970,16.385060708064284
REST,1971,18.773515794385162
REST,1972,21.102633308902696
REST,1973,24.463104703049193
REST,1974,29.131812113052465
REST,1975,34.59872709098151
REST,1976,38.60215267405495
REST,1977,43.4337211404619
REST,1978,48.281471311116135
REST,1979,53.423585564373425
REST,1980,58.340886836072876
REST,1981,65.21919881989801
REST,1982,73.15506232343263
REST,1983,80.0827292729002
REST,1984,85.16928254146997
REST,1985,90.41488434290268
REST,1986,94.51138327731488
REST,1987,104.8043005720083
REST,1988,112.18386762608907
REST,1989,118.53014081799837
REST,1990,125.05064181133746
REST,1991,130.60739590453434
REST,1992,133.6979530392437
REST,1993,136.8487740525741
REST,1994,142.1145966864481
REST,1995,146.01626410101673
REST,1996,152.66016844990997
REST,1997,155.41194301783065
REST,1998,160.22292325403805
REST,1999,164.8308260930314
REST,2000,169.06176367911738
REST,2001,175.6186629729685
REST,2002,182.5839831989505
REST,2003,189.0768733576445
REST,2004,195.66945570318575
REST,2005,202.73235593282544
REST,2006,208.9312301179038
REST,2007,220.42797608965677
REST,2008,229.42521063658114
REST,2009,237.86260129444557
REST,2010,244.4164349449765
REST,2011,245.41605582136123
REST,2012,252.2983376372281
REST,2013,255.9640899603415
REST,2014,261.96878067250145
REST,2015,267.4645391446575
REST,2016,270.07910638006535
REST,2017,276.22582783627666
REST,2018,285.946234427352
REST,2019,292.80786027520026
REST,2020,307.82236183018534
REST,2021,306.64250967626157
REST,2022,315.47983905894785
