ANVENDELSE,TID,P_Mtot,M_tot,P_KL,KL,P_JKL,JKL,P_MDtot,MD_tot,P_MFtot,MF_tot
01000,1967,0.1818950745654445,36286.06775509623,,,,,0.16326561617525207,31709.383281553077,0.2097167098215351,7091.843092835307
01000,1968,0.18225197593999856,35648.36521793845,,,,,0.16310159629844354,32928.93584053324,0.21168217524646996,5745.712876314949
01000,1969,0.18389949514393772,35411.44033540145,,,,,0.17014549535483126,32248.7585613544,0.21169949728877732,5426.6118470414585
01000,1970,0.19908883776459987,36831.7434685625,,,,,0.18106165703950225,33058.04827962075,0.2161106179911258,6327.190272789599
01000,1971,0.20980364814419078,36581.64702038576,,,,,0.18740308819686663,32857.40944424284,0.22436349568191313,6935.156698601195
01000,1972,0.2304531455668298,36337.60337444197,,,,,0.20931987393366344,33005.8434976389,0.22234889150242476,6793.890402568193
01000,1973,0.28766082660561365,38932.19014959699,,,,,0.26481177955073976,35820.68371766849,0.30369048486680944,7209.1162189694105
01000,1974,0.3180796404507104,37915.6175570088,,,,,0.29896429175983236,33458.53426547561,0.37308853891379307,6964.676555235601
01000,1975,0.3393587232771412,38386.5335011928,,,,,0.3300864164931657,33491.350893649666,0.3660542066981297,7384.780588600764
01000,1976,0.37465165816118734,42245.59442144667,,,,,0.36668066089780327,35793.005739285305,0.3946750663425891,8786.982750487905
01000,1977,0.39430669361875503,43231.70333111785,,,,,0.39511400875376756,35058.20014757428,0.4343075366186095,8957.125244216433
01000,1978,0.3915705581139814,47371.117709520375,,,,,0.41338643893157007,37664.17456809065,0.40264181791472115,9361.638141615857
01000,1979,0.4110762945938805,51396.73894568213,,,,,0.4484347523016448,38926.52367017714,0.4379989437337384,10504.954557144014
01000,1980,0.4660900422848626,50520.80255687701,,,,,0.4995748641937334,37794.12927524315,0.5271303078210264,10397.529640547406
01000,1981,0.5341390440289164,49904.90453372836,,,,,0.5669180920262535,36016.019398891316,0.6343722300327989,11075.519493715443
01000,1982,0.5910856441775295,50707.482570830165,,,,,0.6297464690846637,36373.86650741261,0.6845031882086652,11681.3247005104
01000,1983,0.6322354992120108,50978.93750061623,,,,,0.6846998247656999,35806.56678039823,0.7053032063271153,12659.363972689682
01000,1984,0.650814426627636,51240.81248905724,,,,,0.6976119808337754,36438.99574318959,0.7803234205354683,11981.330758449332
01000,1985,0.6190100839137173,53708.66301530903,,,,,0.7087983548447022,37083.24069933676,0.6941089450627734,12199.471077604681
01000,1986,0.6074119614801897,52495.87268959299,,,,,0.7108764027847289,35965.965250561894,0.6115294752987588,12127.348393757877
01000,1987,0.5833838558430895,54808.03536085503,,,,,0.6964366189876181,38219.75507073851,0.5576031974826572,12044.053962242348
01000,1988,0.5918264776683323,52067.45416562639,,,,,0.6846509743255227,36463.25782942709,0.6338662051687359,10546.60738415674
01000,1989,0.634402977061851,50222.42037318449,,,,,0.7152972869395043,34728.87630580507,0.6697737733031922,11120.83108788473
01000,1990,0.6105482092046185,51620.02037653605,,,,,0.7057544545812515,36019.18037496905,0.5967201861883212,11477.697853242233
01000,1991,0.6180167383777441,49891.2263783281,,,,,0.7099845270568561,34155.679561813944,0.6012984961962455,11778.800454023525
