ANVENDELSE,TID,tau
01000,1967,-0.012376348547397244
01000,1968,-0.016765218790182845
01000,1969,-0.022534431958120504
01000,1970,-0.0033629352047307307
01000,1971,-0.006270807687435648
01000,1972,-0.0065536906014796534
01000,1973,-0.05016087834590431
01000,1974,-0.054100472992501085
01000,1975,-0.06616574883492053
01000,1976,-0.05830454452603251
01000,1977,-0.0502153987161119
01000,1978,-0.050746188517185674
01000,1979,-0.05323004586501631
01000,1980,-0.04314427887468019
01000,1981,-0.03859202014209624
01000,1982,-0.0405893763614696
01000,1983,-0.04954759501157372
01000,1984,-0.05591334949890403
01000,1985,-0.05729976632651741
01000,1986,-0.04290494488362426
01000,1987,-0.051068282282157505
01000,1988,-0.033441145974470655
01000,1989,-0.01725578167251046
01000,1990,-0.02962782649114617
01000,1991,-0.02057591413180798
01000,1992,-0.030052951574620883
01000,1993,-0.0602612190160175
01000,1994,-0.06147536645776519
01000,1995,-0.06618511344601442
01000,1996,-0.06520418607635556
01000,1997,-0.05469924407355512
01000,1998,-0.06374963118107489
01000,1999,-0.06391965505005727
01000,2000,-0.059812410373560235
01000,2001,-0.06017928272142431
01000,2002,-0.02263715695396113
01000,2003,-0.015080067871265776
01000,2004,-0.013793160458054399
01000,2005,0.03383560163455498
01000,2006,0.032178119187497446
01000,2007,0.03976589936341497
01000,2008,0.03311214250167476
01000,2009,0.03643067428675549
01000,2010,0.03649052226551793
01000,2011,0.04017788297313743
01000,2012,0.03996296388042412
01000,2013,0.037472269702380594
01000,2014,0.03539683455782834
01000,2015,0.03391505636010023
01000,2016,0.03384317848897288
01000,2017,0.028406446652045513
01000,2018,0.029015031479143027
01000,2019,0.027379907754041286
01000,2020,0.026431837104599214
01000,2021,0.028306324973656788
01000,2022,0.024897034821708446
10120,1967,-0.017138944946831138
10120,1968,-0.03298584126173325
10120,1969,-0.03442263710742121
10120,1970,-0.04621312292021902
10120,1971,-0.06432765781142287
10120,1972,-0.04476028110171601
10120,1973,-0.004961815004937003
10120,1974,-0.003284731066443362
10120,1975,-0.016000976358149375
10120,1976,-0.003400463119506256
10120,1977,0.004349958818098712
10120,1978,0.0019333676999369687
10120,1979,0.0037045307952766663
10120,1980,0.0020440913007505252
10120,1981,0.0038134249504496102
10120,1982,0.0014723824316847337
10120,1983,0.002958260961979664
10120,1984,-0.002212954117304826
10120,1985,-0.0022681362779593322
10120,1986,-0.0002345410993046497
10120,1987,-0.009986443392260621
10120,1988,-0.007921216605620465
10120,1989,0.006846676005447061
10120,1990,0.006738716889923929
10120,1991,0.007683098279840068
10120,1992,0.0023537437689699296
10120,1993,-0.0031050841430718345
10120,1994,-0.00027029361570624576
10120,1995,-0.0023572128372520503
10120,1996,-0.00272988417240668
10120,1997,-0.002535096770546449
10120,1998,-0.0004310184507492204
10120,1999,0.002897007825433071
10120,2000,0.004417475232980895
10120,2001,0.003758036831601702
10120,2002,-0.01242554700368086
10120,2003,-0.019315907569668812
10120,2004,-0.016230949658941746
10120,2005,0.018559468825775877
10120,2006,0.014062022537629892
10120,2007,0.014694934302991692
10120,2008,0.01776067623932708
10120,2009,0.01524955637040549
10120,2010,0.015461603760765528
10120,2011,0.01706229111353842
10120,2012,0.02283876695110968
10120,2013,0.016329863031878604
10120,2014,0.013469039199295655
10120,2015,0.011907844559451985
10120,2016,0.011420180166394287
10120,2017,0.008693429454501701
10120,2018,0.009279403452871949
10120,2019,0.004928632323032809
10120,2020,0.005062768258288807
10120,2021,0.006226074046478048
10120,2022,0.006158563252747268
REST,1967,0.04097118739067144
REST,1968,0.043202636117995415
REST,1969,0.04082556585128537
REST,1970,0.04088268818705851
REST,1971,0.03909571543513462
REST,1972,0.04252217131586686
REST,1973,0.03320108619907568
REST,1974,0.03453136431956603
REST,1975,0.03303871437987844
REST,1976,0.03969654947888268
REST,1977,0.046082500988224584
REST,1978,0.05148096462449602
REST,1979,0.054950938504048655
REST,1980,0.05665835456021261
REST,1981,0.055775265792724675
REST,1982,0.05429615714768057
REST,1983,0.05524162226259312
REST,1984,0.03858712052334623
REST,1985,0.042926145374247514
REST,1986,0.05652410253165723
REST,1987,0.06024657277624318
REST,1988,0.06281987262287751
REST,1989,0.06383902055906514
REST,1990,0.06483509765319495
REST,1991,0.0656072454349801
REST,1992,0.06597461143026187
REST,1993,0.0659431530675814
REST,1994,0.06288450988290177
REST,1995,0.06149162240996437
REST,1996,0.064313789730258
REST,1997,0.067356695532881
REST,1998,0.07473522886086652
REST,1999,0.07447064785303671
REST,2000,0.06920037051434005
REST,2001,0.06969181375265908
REST,2002,0.07074159713995277
REST,2003,0.07147332007825796
REST,2004,0.07318989724501512
REST,2005,0.07189543871228436
REST,2006,0.07005766721803043
REST,2007,0.06772879240364167
REST,2008,0.06580343089628615
REST,2009,0.06946589072614555
REST,2010,0.07120548657162984
REST,2011,0.0694112931226741
REST,2012,0.06888860864085722
REST,2013,0.06836814602154248
REST,2014,0.0667167053445723
REST,2015,0.06469115277582471
REST,2016,0.06386939699341841
REST,2017,0.06189800422091698
REST,2018,0.0618767775640872
REST,2019,0.05869309492151679
REST,2020,0.06029773264771286
REST,2021,0.05929331523772511
REST,2022,0.05525027475920015
