TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1999,-43.134
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1999,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2018,10.472
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2018,2.363
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2018,37.358
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2018,25.148
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2018,1175.711
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2018,1173.83
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2018,750.531
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2018,844.632
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1994,4135.673
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1994,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1994,17250.531
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1994,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,977.894
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1973,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1973,4448.232
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1973,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,-844.176
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,-970.548
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1988,-568.12
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1988,-641.266
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,-603.88
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1988,-440.179
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1988,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1994,8.247
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1994,8.616
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1994,35.951
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1994,34.529
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1994,-1686.806
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1994,-1777.852
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1994,-56.297
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1994,-81.364
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,0.234
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1973,0.199
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1973,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1973,0.0
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,-476.047
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1973,-319.559
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1973,-121.583
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1973,-106.552
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1999,4671.333
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1999,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1999,18891.07
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1999,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1999,9.102
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1999,8.632
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1999,45.613
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1999,44.534
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,4014.461
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1988,15850.869
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1988,
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1994,-1230.653
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1994,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1994,-723.292
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1994,
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,196.21
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1973,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1973,21.047
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1973,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1999,-1860.217
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1999,-1936.11
