TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2017,1140.279
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2017,1071.198
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2017,726.189
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2017,666.412
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2004,-1644.102
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2004,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2004,-76.343
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2004,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2019,1077.148
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2019,1061.705
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2019,398.02
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2019,643.734
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2017,-5834.295
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2017,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2017,468.039
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2017,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1970,802.621
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1970,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1970,3113.483
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1970,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1974,1122.38
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1974,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1974,5233.111
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1974,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1974,0.28
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1974,0.231
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1974,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1974,0.0
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2017,9516.855
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2017,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2017,19723.111
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2017,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2005,5740.453
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2005,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2005,20933.161
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2005,
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2005,-6403.281
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2005,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2005,-23.828
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2005,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1970,0.141
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1970,0.133
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1970,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1970,0.0
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1968,864.032
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1968,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1968,2543.647
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1968,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1974,-541.442
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1974,-452.277
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1974,-87.534
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1974,-73.068
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1974,159.322
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1974,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1974,-87.132
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1974,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2017,10.227
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2017,2.575
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2017,37.169
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2017,26.945
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1979,59.726
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1979,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1979,-112.115
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1979,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1970,-20.27
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1970,-24.418
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1970,-747.376
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1970,-653.224
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1978,-790.665
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1978,-950.359
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1985,3455.071
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1985,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1985,13304.26
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1985,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1997,-1591.061
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1997,-1881.158
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1997,-213.392
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1997,-341.989
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1997,-1024.532
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1997,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1997,-340.248
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1997,
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1978,76.551
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1978,38.548
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1976,0.384
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1976,0.32
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1976,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1976,0.0
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1978,137.649
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1978,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1978,-43.477
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1978,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1985,1.742
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1985,1.526
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1985,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1985,0.0
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1985,-1507.84
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1985,-1816.756
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1985,-157.326
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1985,-222.547
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1979,1959.546
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1979,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1979,8429.846
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1979,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1979,0.735
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1979,0.605
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1979,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1979,0.0
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1976,-765.608
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1976,-640.425
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1976,-110.22
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1976,-154.074
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1985,-517.239
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1985,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1985,-150.118
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1985,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1997,4670.539
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1997,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1997,18062.028
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1997,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1997,8.167
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1997,9.134
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1997,33.294
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1997,32.566
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1979,-929.919
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1979,-902.194
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1979,159.85
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1979,161.36
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,7.542
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,6.78
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1987,18.497
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1987,15.929
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,-1366.859
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,-1635.418
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1976,180.823
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1976,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1976,-31.756
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1976,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1993,9.293
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1993,9.726
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1993,33.186
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1993,37.281
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1992,4461.048
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1992,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1992,17244.943
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1992,
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1987,-689.06
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1987,-588.945
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,-245.161
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1987,-36.063
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1987,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1978,1741.626
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1978,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1978,7548.789
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1978,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1991,4396.886
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1991,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1991,17013.834
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1991,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1993,-1667.394
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1993,-2237.344
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1993,-264.067
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1993,-280.137
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,4121.889
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1987,15244.385
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1987,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1978,0.554
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1978,0.463
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1978,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1978,0.0
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1991,9.222
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1991,9.289
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1991,33.424
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1991,34.145
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1991,-508.188
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1991,-469.974
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1991,514.74
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1991,510.216
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1992,13.457
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1992,9.545
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1992,30.749
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1992,31.831
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1993,-673.534
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1993,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1993,-596.011
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1993,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1976,1451.962
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1976,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1976,6297.02
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1976,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1969,-123.77
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1969,-149.754
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1969,-493.618
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1969,-444.786
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1991,-535.276
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1991,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1991,-405.46
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1991,
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1989,-583.432
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1989,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1989,-583.761
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1989,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1992,-759.151
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1992,-1400.867
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1992,149.2
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1992,145.568
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1992,-793.641
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1992,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1992,-1156.836
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1992,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2000,4891.505
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2000,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2000,19588.601
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2000,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2000,10.359
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2000,9.069
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1969,130.852
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1969,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1969,9.967
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1969,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1989,4216.412
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1989,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1989,15979.351
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1989,
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2000,45.428
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2000,44.145
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2000,-1771.46
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2000,-1639.181
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2000,254.683
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2000,260.63
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2000,-978.86
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2000,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1969,871.674
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1969,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1969,2767.313
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1969,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1969,0.124
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1969,0.104
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1969,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1969,0.0
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1989,9.126
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1989,9.591
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1989,26.279
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1989,25.782
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1989,-437.785
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1989,-513.037
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1989,475.143
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1989,393.756
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1993,4251.905
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1993,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1993,17126.805
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1993,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1995,4274.168
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1995,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1995,17683.465
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1995,
