BEHOLD,BRANCHE,TID,Xt
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2008,242335.2202489391
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2009,239114.00771446317
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2010,234152.13995949403
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2011,229189.27182796143
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2012,225174.76067862858
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2013,222099.60312242393
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2014,218559.27046419092
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2015,215349.0620719135
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2016,211367.56334917626
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2017,208356.42989303567
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2018,204332.91535463126
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2019,200801.58608546975
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2020,196588.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2021,194543.2303042022
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2022,190721.79183162522
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2023,187463.56536429972
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2024,184659.50985680407
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1966,
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1967,36904.72799723828
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1968,38025.7501109632
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1969,39447.7781624501
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1970,40346.79589682895
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1971,41710.82280416238
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1972,42921.846693297855
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1973,44127.870483799394
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1974,46869.924574641234
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1975,48514.95702520099
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1976,50580.99778073681
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1977,52445.03455146226
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1978,54644.077930660365
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1979,57093.126241554484
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1980,58319.15042659171
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1981,59086.165557035085
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1982,59217.16814124379
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1983,59269.16916703657
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1984,60352.1905311437
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1985,61830.21968733051
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1986,63941.26133057161
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1987,66179.3054791143
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1988,68824.35765645809
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1989,71029.4011540169
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1990,72699.43409774623
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1991,75679.49288356269
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1992,78427.54709276525
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1993,79445.5671746314
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1994,80169.58145682304
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1995,80876.59540365938
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1996,83395.64509542838
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1997,83780.65269024023
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1998,84572.66831385318
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1999,84522.66732751398
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2000,86867.71358682256
