ANVENDELSE,TID,afgift
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2000,300.111
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2001,274.899
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2002,-904.233
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2003,-1384.1399999999999
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2004,-1193.749
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2005,1367.329
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2006,1050.133
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2007,1117.16
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2008,1424.0449999999998
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2009,1125.061
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2010,1147.968
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2011,1388.586
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2012,1889.1190000000001
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2013,1394.846
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2014,1115.441
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2015,943.6859999999999
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2016,911.385
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2017,763.358
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2018,787.8889999999999
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2019,433.529
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2020,475.39599999999996
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2021,594.42
"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",2022,709.0559999999999
REST_ANVENDELSE Øvrige brancher,1966,1433.128
REST_ANVENDELSE Øvrige brancher,1967,1587.617
REST_ANVENDELSE Øvrige brancher,1968,1761.33
REST_ANVENDELSE Øvrige brancher,1969,1912.385
REST_ANVENDELSE Øvrige brancher,1970,2179.038
REST_ANVENDELSE Øvrige brancher,1971,2234.876
REST_ANVENDELSE Øvrige brancher,1972,2713.116
