TILGANG2,ANVENDELSE,TID,P_M,M
01000,01000,1967,0.20578197885782148,9973.753589921485
01000,01000,1968,0.18727726469745423,9578.77504995578
01000,01000,1969,0.19717400963768256,8449.1611452551
01000,01000,1970,0.21585382382572496,9849.36346649468
01000,01000,1971,0.217364601250279,10241.200057894586
01000,01000,1972,0.24194241589561674,9245.244678294257
01000,01000,1973,0.3084964705187002,10873.025250917875
01000,01000,1974,0.3430746790639215,10092.226899132487
01000,01000,1975,0.37151263381636107,10054.181567532207
01000,01000,1976,0.451601690294118,11020.90158272298
01000,01000,1977,0.4913049699404224,10739.884588209905
01000,01000,1978,0.5196564439103786,10644.298646167026
01000,01000,1979,0.5604136184101879,11417.397513775752
01000,01000,1980,0.6292511585231155,11511.179166228658
01000,01000,1981,0.7051539422086416,11833.780216249615
01000,01000,1982,0.7932264119000366,10876.492394704526
01000,01000,1983,0.859017459745747,10729.314208941636
01000,01000,1984,0.8540664136140408,10339.958359174954
01000,01000,1985,0.881544584874696,10743.491533782755
01000,01000,1986,0.9247967311000547,9777.879617882152
01000,01000,1987,0.9641466915573271,10058.95795112705
01000,01000,1988,0.8641353890538201,8312.47070877832
01000,01000,1989,0.8773957793136107,8025.013431660113
01000,01000,1990,0.8637716648791264,8198.89910354145
01000,01000,1991,0.8672524569836155,7684.684462785474
01000,01000,1992,0.858932057706239,9081.359021658767
01000,01000,1993,0.7616643006741602,11172.214116359297
01000,01000,1994,0.7555446741810888,10794.143652246741
01000,01000,1995,0.7788554384105646,11334.512782295575
01000,01000,1996,0.7723216368710875,11809.521022627609
01000,01000,1997,0.7724940042272849,11852.867198212642
01000,01000,1998,0.7402787159629675,12066.196432931538
01000,01000,1999,0.7366776507170141,13202.726433506374
01000,01000,2000,0.7687120391182876,13100.071397499503
01000,01000,2001,0.769766633411394,12969.175812782496
01000,01000,2002,0.7630494333969396,10344.947672345043
01000,01000,2003,0.772779311204258,9838.296119116032
01000,01000,2004,0.8027695363529826,9457.351877814126
01000,01000,2005,0.664337361298653,8913.428314859848
01000,01000,2006,0.691805974010415,8796.341528673696
01000,01000,2007,0.8557243141618863,8584.54273023893
01000,01000,2008,0.9559524403282126,8366.857442021237
01000,01000,2009,0.8207798470052505,9294.350145748698
01000,01000,2010,0.8263488793567917,8661.267724803698
01000,01000,2011,0.9333872729698248,10273.042939586681
01000,01000,2012,0.9674561062865473,10070.525620161043
01000,01000,2013,0.9559548046262678,9625.728085526322
01000,01000,2014,0.9039523944755001,9542.171685671208
01000,01000,2015,0.9096190775015147,9980.989388460357
01000,01000,2016,0.8914335046193776,10022.968808465492
01000,01000,2017,0.9093904902858511,10680.912938201795
01000,01000,2018,0.92947922682042,11001.903944908096
01000,01000,2019,0.9901658943618428,10415.586826734063
01000,01000,2020,1.0,9706.781258229632
01000,01000,2021,1.0368614473819349,10705.25062205981
01000,01000,2022,1.1272234114961928,12593.205121999497
01000,10120,1967,0.27846650197751066,30567.574792627696
01000,10120,1968,0.2796277076336597,28967.627901767224
01000,10120,1969,0.3015016270352893,28263.89690197121
01000,10120,1970,0.3212202941784581,29515.203190371038
01000,10120,1971,0.3153084609980291,29674.517293382647
01000,10120,1972,0.3569381631983054,28824.534186180354
01000,10120,1973,0.47657863754077323,30557.349234466594
01000,10120,1974,0.49061920031503314,30041.29471585267
01000,10120,1975,0.52391500963253,30489.763399801337
01000,10120,1976,0.5914061494754376,30974.214570897373
01000,10120,1977,0.6360489287456175,31285.210931513313
01000,10120,1978,0.6714453028156815,33278.66340869583
01000,10120,1979,0.6746862989323997,34351.998067173015
01000,10120,1980,0.7373400974955447,35051.23415568289
01000,10120,1981,0.8370523652235556,34949.99599450792
01000,10120,1982,0.9435629571920517,35364.296917943946
01000,10120,1983,0.9633134311608507,37071.27902061608
01000,10120,1984,1.0173635775726313,36779.61904580954
01000,10120,1985,0.9989975573807663,37035.74258303223
01000,10120,1986,0.9393723089144792,38784.29179048426
01000,10120,1987,0.8906398974932602,37648.11991711907
01000,10120,1988,0.9438021188374153,36467.395640581635
01000,10120,1989,1.0560307856678404,36537.12657055698
01000,10120,1990,0.9654810111591927,37571.6464807926
01000,10120,1991,0.9395182718607795,38317.458275338184
01000,10120,1992,0.9491784782772279,40526.28790472496
01000,10120,1993,0.8214067985554273,43738.00273578457
01000,10120,1994,0.8232646053403191,44831.58598231727
01000,10120,1995,0.8371725151574847,44228.2790893415
01000,10120,1996,0.8602600613043733,44614.44122084311
01000,10120,1997,0.8748953824387006,45164.697129774635
01000,10120,1998,0.7605875802567913,46553.93919680448
01000,10120,1999,0.7191590024860848,46824.79849222137
01000,10120,2000,0.8094070178574004,46362.223685462646
01000,10120,2001,0.8820487122945665,46631.19680742559
01000,10120,2002,0.7766785428144632,51221.110792814514
01000,10120,2003,0.7242682581037676,53120.00204922644
01000,10120,2004,0.7492962927956093,53555.81375855556
01000,10120,2005,0.7229580916835864,52059.1919522846
01000,10120,2006,0.7431829764883209,51750.35863088736
01000,10120,2007,0.7696644559365078,52525.78307313865
01000,10120,2008,0.872972610153609,51826.89712934389
01000,10120,2009,0.7922659232822976,46323.312927813924
01000,10120,2010,0.8463089120855128,47226.259722805735
01000,10120,2011,0.9358528964371187,47013.54523926585
01000,10120,2012,1.005799529803268,45765.38857126475
01000,10120,2013,1.0341744869619898,46280.76782982755
01000,10120,2014,0.9763467118389625,47218.58497452848
01000,10120,2015,0.8631791196293026,47963.68797409823
01000,10120,2016,0.8681809717689478,46484.05105697936
01000,10120,2017,0.9828226849617505,46577.8524141476
01000,10120,2018,0.9143724125354395,46933.62306074127
01000,10120,2019,0.9826410696849414,47334.37231897601
01000,10120,2020,1.0,48647.10464413668
01000,10120,2021,0.967648277552172,49436.35232117549
01000,10120,2022,1.2304078023716816,48410.17947970307
01000,REST,1967,0.24698052130469544,2356.164574414493
01000,REST,1968,0.2513702399935968,1816.7595812646382
01000,REST,1969,0.2644041632240722,1922.366102886181
01000,REST,1970,0.27598685812452045,2079.9751101537904
01000,REST,1971,0.25815192243195123,2165.0137271730796
01000,REST,1972,0.29019528207399237,1939.592085813031
01000,REST,1973,0.3294701447465982,2069.8996828360027
01000,REST,1974,0.37364657361019105,2118.2551742162227
01000,REST,1975,0.3592654630658378,2035.0810974352578
01000,REST,1976,0.47017648945335183,2343.400316345693
01000,REST,1977,0.554156879595654,2578.359577112269
01000,REST,1978,0.5044472728238314,2476.014918150301
01000,REST,1979,0.5355168381088606,2161.525119535226
01000,REST,1980,0.5858511609884198,2341.3368220441494
01000,REST,1981,0.6249187639317655,2355.814384506817
01000,REST,1982,0.6807347503565495,2415.9776667597002
01000,REST,1983,0.7376750172777965,2172.2753352167256
01000,REST,1984,0.8285085333434318,2169.028474026647
01000,REST,1985,0.8131492524253277,2274.1024639064567
01000,REST,1986,0.768811804473256,2424.976555418309
01000,REST,1987,0.704557558445311,2376.4708379870294
01000,REST,1988,0.6984721599227747,2449.121949573695
01000,REST,1989,0.7055579401288611,2988.1692247160263
01000,REST,1990,0.627470798644412,2293.947220433167
01000,REST,1991,0.6174725026835572,2702.7183068067066
01000,REST,1992,0.5982990977343158,2754.152696383882
01000,REST,1993,0.6196328366385097,3548.38100512622
01000,REST,1994,0.7010143662156059,3334.8300715505666
01000,REST,1995,0.8033505893208329,2996.136002661157
01000,REST,1996,0.7583797527045713,3226.982004502304
01000,REST,1997,0.808885667665845,2542.5485625793444
01000,REST,1998,0.7710838751412697,3094.8505049625483
01000,REST,1999,0.7227560605167156,3253.7664973634737
01000,REST,2000,0.7418927030550589,3289.4377739209667
01000,REST,2001,0.7485111254623205,3363.6386807072545
01000,REST,2002,0.7832296530411581,3638.107374986555
01000,REST,2003,0.7678900644144676,3807.7564190561843
01000,REST,2004,0.7571642630191712,3469.626652395856
01000,REST,2005,0.7982624158815578,3263.7414437239822
01000,REST,2006,0.8236376858608422,3236.5334602003654
01000,REST,2007,0.8762393675860985,3404.9610527959267
01000,REST,2008,0.9280626365497061,3602.1844962578934
01000,REST,2009,0.8456889826551397,3520.026668347934
01000,REST,2010,0.8828960302990209,3186.295067870228
01000,REST,2011,1.0404376095706263,2522.656954698499
01000,REST,2012,1.0842299548108711,2636.81782596662
01000,REST,2013,1.011663571850952,2772.9416221753013
01000,REST,2014,1.0007578468587757,2869.090832612418
01000,REST,2015,0.9544626023932926,3426.146444127215
