ANVENDELSE,TID,Xt
REST,1975,3856260.0
REST,1976,3992820.0
REST,1977,4114787.0
REST,1978,4233512.0
REST,1979,4350333.0
REST,1980,4435830.0
REST,1981,4471498.0
REST,1982,4517509.0
REST,1983,4564886.0
REST,1984,4625448.0
REST,1985,4710206.0
REST,1986,4837386.0
REST,1987,4962141.0
REST,1988,5055391.0
REST,1989,5137935.0
REST,1990,5217291.0
REST,1991,5264800.0
REST,1992,5305384.0
REST,1993,5328639.0
REST,1994,5354683.0
REST,1995,5403081.0
REST,1996,5462484.0
REST,1997,5531111.0
REST,1998,5612542.0
REST,1999,5682056.0
REST,2000,5773271.0
REST,2001,5852073.0
REST,2002,5918328.0
REST,2003,5980902.0
REST,2004,6046439.0
REST,2005,6132550.0
REST,2006,6270696.0
REST,2007,6395005.0
REST,2008,6486901.0
REST,2009,6533631.0
REST,2010,6550770.0
REST,2011,6568622.0
REST,2012,6599838.0
REST,2013,6638025.0
REST,2014,6696875.0
REST,2015,6769376.0
REST,2016,6870825.0
REST,2017,6985059.0
REST,2018,7107156.0
REST,2019,7209258.0
REST,2020,7324959.0
REST,2021,7488001.0
REST,2022,7648052.0
REST,2023,7786450.0
REST,2024,7930718.0
