TILGANG2,ANVENDELSE,TID,P_M,M
010000,010000,1967,0.20578197879852939,9973.75359279523
010000,010000,1968,0.18727726413384183,9578.77505271572
010000,010000,1969,0.19717400961683296,8449.161146148534
010000,010000,1970,0.21585382380290014,9849.363467536172
010000,010000,1971,0.21736460122729442,10241.20005897751
010000,010000,1972,0.24194241587003323,9245.244679271867
010000,010000,1973,0.30849647048607914,10873.025252067611
010000,010000,1974,0.34307467731482816,10092.226900199661
010000,010000,1975,0.37151263168436344,10054.181566987945
010000,010000,1976,0.45160169012805607,11020.90158677556
010000,010000,1977,0.49130496975976085,10739.88459215915
010000,010000,1978,0.5196564453513993,10644.298650081126
010000,010000,1979,0.5604136181995492,11417.397518067128
010000,010000,1980,0.6292511582866034,11511.179170555282
010000,010000,1981,0.7051539419436004,11833.780220697494
010000,010000,1982,0.7932264116018922,10876.492398792596
010000,010000,1983,0.859017456229176,10729.314212974386
010000,010000,1984,0.854066413475289,10339.958360854785
010000,010000,1985,0.8815445847314801,10743.491535528145
010000,010000,1986,0.9247967294591478,9777.879619470668
010000,010000,1987,0.9641466932682392,10058.957952419116
010000,010000,1988,0.8641353900402096,8312.470710010091
010000,010000,1989,0.8773957797528423,8025.013433070562
010000,010000,1990,0.8637716667219051,8198.899105044768
010000,010000,1991,0.8672524568764555,7684.684463735015
010000,010000,1992,0.858932057600107,9081.359022780885
010000,010000,1993,0.7616643005800469,11172.214117739768
010000,010000,1994,0.7555446740877315,10794.143653580497
010000,010000,1995,0.778855438314327,11334.512783696098
010000,010000,1996,0.7723216386126637,11809.521024086825
010000,010000,1997,0.7724940026729691,11852.867199723876
010000,010000,1998,0.7402787158317328,12066.1964350706
010000,010000,1999,0.7366776505864178,13202.72643584692
010000,010000,2000,0.7687120389820122,13100.07139982185
010000,010000,2001,0.7697666347933235,12969.175815081635
010000,010000,2002,0.763049433347358,10344.94767301724
010000,010000,2003,0.7727793108082158,9838.296119755307
010000,010000,2004,0.8027695366547224,9457.351878270658
010000,010000,2005,0.6643373619357379,8913.428315290437
010000,010000,2006,0.6918059733710601,8796.341528721347
010000,010000,2007,0.8557243141901433,8584.54272995546
010000,010000,2008,0.955952441056066,8366.857441744954
010000,010000,2009,0.8207798469989542,9294.350145819997
010000,010000,2010,0.8263488801032175,8661.267724870142
010000,010000,2011,0.9333872729929634,10273.042939332014
010000,010000,2012,0.9674561071946555,10070.525619911396
010000,010000,2013,0.9559548038608932,9625.728085326646
010000,010000,2014,0.9039523945132579,9542.171685272635
010000,010000,2015,0.9096190775395091,9980.989388043456
010000,010000,2016,0.8914335046566124,10022.968808046837
010000,010000,2017,0.9093904903238359,10680.912937755656
010000,010000,2018,0.9294792274131174,11001.90394444855
010000,010000,2019,0.9901658949824022,10415.586826383249
010000,010000,2020,1.0,9706.781258229632
010000,010000,2021,1.0368614467679214,10705.25062205981
010000,010000,2022,1.127223411961692,12593.205122110598
010000,100010,1967,0.30272859187958256,15915.452509230527
010000,100010,1968,0.3072323942937299,15083.923514015782
010000,100010,1969,0.3348384229054939,14941.791983747426
010000,100010,1970,0.3554743818969558,15720.782830648257
010000,100010,1971,0.33726442893920205,15912.59161315155
010000,100010,1972,0.37777081004648194,15092.738949906143
010000,100010,1973,0.5345413124401174,16120.929582328143
010000,100010,1974,0.5062232538528189,16143.504500999761
010000,100010,1975,0.5400214138986442,16305.461591510215
010000,100010,1976,0.6275316589346791,16165.023240888217
010000,100010,1977,0.6505196027098246,16382.280055054129
010000,100010,1978,0.6947012499823838,17065.362221790183
010000,100010,1979,0.6819729004678347,18591.58845179367
010000,100010,1980,0.7458124413816685,19438.002761462307
010000,100010,1981,0.8621964182685189,19716.73132914457
010000,100010,1982,0.9621398956705965,19670.540533890733
010000,100010,1983,0.9346723825224057,21124.518157749637
010000,100010,1984,1.0292315618824797,21315.350525392907
010000,100010,1985,0.9959557430379619,21670.82274404644
010000,100010,1986,0.8933762363188079,23046.847720703736
010000,100010,1987,0.8360003867907178,22864.396768398892
010000,100010,1988,0.8552314168846737,22020.561152781218
010000,100010,1989,0.995258832444897,21571.880257516557
010000,100010,1990,0.9002956981726451,22226.616840673818
010000,100010,1991,0.8574700145363597,23275.568151750816
010000,100010,1992,0.8866098898272343,25580.59455440663
010000,100010,1993,0.7268832648447143,27194.010448030676
010000,100010,1994,0.7384385860360902,27703.727743223622
010000,100010,1995,0.7740652019863373,26623.092376163328
010000,100010,1996,0.8086123280267756,26661.727072127098
010000,100010,1997,0.8318665653518047,26961.03738439503
