SOCIO,BRANCHE,TID,INDHOLD
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1978,103979
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1978,38694
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1978,18146
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1974,433263
Samlede præsterede timer (1000 timer),100010 Slagterier,1974,47576
Samlede præsterede timer (1000 timer),100030 Mejerier,1974,22351
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1980,342439
Samlede præsterede timer (1000 timer),100010 Slagterier,1980,41428
Samlede præsterede timer (1000 timer),100030 Mejerier,1980,17839
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2000,54261
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2000,33949
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2000,14183
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1971,472538
Samlede præsterede timer (1000 timer),100010 Slagterier,1971,51104
Samlede præsterede timer (1000 timer),100030 Mejerier,1971,24744
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1973,122655
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1973,47643
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1973,21802
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2012,95702
Samlede præsterede timer (1000 timer),100010 Slagterier,2012,22864
Samlede præsterede timer (1000 timer),100030 Mejerier,2012,11746
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1978,380021
Samlede præsterede timer (1000 timer),100010 Slagterier,1978,39174
Samlede præsterede timer (1000 timer),100030 Mejerier,1978,18797
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1977,393844
Samlede præsterede timer (1000 timer),100010 Slagterier,1977,38233
Samlede præsterede timer (1000 timer),100030 Mejerier,1977,19826
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1974,116425
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1974,46703
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1974,20834
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1971,125229
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1971,50041
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1971,22900
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2012,49797
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2012,22766
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2012,11721
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1994,187306
Samlede præsterede timer (1000 timer),100010 Slagterier,1994,40237
Samlede præsterede timer (1000 timer),100030 Mejerier,1994,13821
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1994,57121
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1994,39913
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1994,13785
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1980,94417
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1980,41065
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1980,17533
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1977,107361
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1977,37718
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1977,18840
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2004,133301
Samlede præsterede timer (1000 timer),100010 Slagterier,2004,32206
Samlede præsterede timer (1000 timer),100030 Mejerier,2004,14357
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2004,52184
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2004,32049
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2004,14338
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2021,86997
Samlede præsterede timer (1000 timer),100010 Slagterier,2021,20080
Samlede præsterede timer (1000 timer),100030 Mejerier,2021,10616
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2021,49977
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2021,19993
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2021,10586
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2007,114771
Samlede præsterede timer (1000 timer),100010 Slagterier,2007,25367
Samlede præsterede timer (1000 timer),100030 Mejerier,2007,11424
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2007,48565
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2007,25238
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2007,11393
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1981,325525
Samlede præsterede timer (1000 timer),100010 Slagterier,1981,42756
Samlede præsterede timer (1000 timer),100030 Mejerier,1981,17053
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1970,505492
Samlede præsterede timer (1000 timer),100010 Slagterier,1970,52431
Samlede præsterede timer (1000 timer),100030 Mejerier,1970,26101
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1970,137347
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1970,51253
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1970,24148
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1966,630077
Samlede præsterede timer (1000 timer),100010 Slagterier,1966,60113
Samlede præsterede timer (1000 timer),100030 Mejerier,1966,30437
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1966,173223
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1966,58532
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1966,28158
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1975,111054
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1975,39739
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1975,19031
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2013,94814
Samlede præsterede timer (1000 timer),100010 Slagterier,2013,20865
Samlede præsterede timer (1000 timer),100030 Mejerier,2013,10482
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2013,49805
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2013,20769
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2013,10457
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1987,83702
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1987,42707
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1987,15804
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2006,117953
Samlede præsterede timer (1000 timer),100010 Slagterier,2006,26004
Samlede præsterede timer (1000 timer),100030 Mejerier,2006,12451
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2006,50574
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2006,25860
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2006,12421
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1975,415440
Samlede præsterede timer (1000 timer),100010 Slagterier,1975,40386
Samlede præsterede timer (1000 timer),100030 Mejerier,1975,20109
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2016,91694
Samlede præsterede timer (1000 timer),100010 Slagterier,2016,18547
Samlede præsterede timer (1000 timer),100030 Mejerier,2016,9195
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2016,49909
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2016,18453
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2016,9166
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1969,532920
Samlede præsterede timer (1000 timer),100010 Slagterier,1969,51564
Samlede præsterede timer (1000 timer),100030 Mejerier,1969,27073
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1986,277373
Samlede præsterede timer (1000 timer),100010 Slagterier,1986,46152
Samlede præsterede timer (1000 timer),100030 Mejerier,1986,16768
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1986,84708
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1986,45837
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1986,16739
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2022,84490
Samlede præsterede timer (1000 timer),100010 Slagterier,2022,20417
Samlede præsterede timer (1000 timer),100030 Mejerier,2022,9501
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2022,49369
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2022,20334
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2022,9470
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2018,89982
Samlede præsterede timer (1000 timer),100010 Slagterier,2018,18078
Samlede præsterede timer (1000 timer),100030 Mejerier,2018,7137
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1969,144981
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1969,50295
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1969,25004
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2003,134391
Samlede præsterede timer (1000 timer),100010 Slagterier,2003,33605
Samlede præsterede timer (1000 timer),100030 Mejerier,2003,14794
