ANVENDELSE,TID,gamma
100010,1966,0.00741903522698786
100010,1967,0.005792688674798741
100010,1968,0.03833916161796151
100010,1969,0.02972243729095597
100010,1970,0.0551580169399911
100010,1971,0.09017674642298905
100010,1972,0.12075097601853148
100010,1973,0.09391155888311868
100010,1974,0.08365898858863698
100010,1975,0.14192835515475263
100010,1976,0.12437633808682283
100010,1977,0.22982924292931886
100010,1978,0.2088820990224962
100010,1979,0.3500879600513559
100010,1980,0.36543714931497584
100010,1981,0.3978499051033548
100010,1982,0.3178273345730626
100010,1983,0.14527715141193073
100010,1984,0.14406177510136184
100010,1985,0.18894226277834197
100010,1986,0.20276332209434758
100010,1987,0.15353231145759114
100010,1988,0.13694850701299394
100010,1989,0.09192417220288449
100010,1990,0.12023691248864485
100010,1991,0.06902166188032938
100010,1992,0.16023246452002513
100010,1993,0.18364498276907187
100010,1994,0.1964099190082247
100010,1995,0.10959632574544691
100010,1996,0.1627234181067363
100010,1997,0.15853530370872174
100010,1998,0.1668748383802887
100010,1999,0.13763221356129055
100010,2000,0.13749322470366557
100010,2001,0.1705341793462631
100010,2002,0.1266527166703425
100010,2003,0.1836825058292681
100010,2004,0.15563015031796712
100010,2005,0.11400867105032682
100010,2006,0.17548261707997728
100010,2007,0.12458481504136548
100010,2008,0.13231146325055768
100010,2009,0.14171113972631266
100010,2010,0.1009319091258718
100010,2011,-0.016702061381605297
100010,2012,-0.0005758273273739905
100010,2013,-0.008672408812246233
100010,2014,-0.03549873861437708
100010,2015,0.02858008408453521
100010,2016,-0.004071950535650325
100010,2017,-0.061942538984611786
100010,2018,0.0254914193494712
100010,2019,0.06404672227953705
100010,2020,0.13859082848437435
100010,2021,-0.02415722832268946
100010,2022,-0.06682536260341511
100030,1966,0.1582565864081842
100030,1967,0.14934967760788825
100030,1968,0.18778064861012117
100030,1969,0.16552454986453444
100030,1970,0.12759099054481163
100030,1971,0.1720491566455327
100030,1972,0.0795798028577528
100030,1973,0.13452869926177777
100030,1974,0.1254782312171497
100030,1975,0.16570993474394285
100030,1976,0.11060772499879873
100030,1977,0.12802360619199746
100030,1978,0.19026856523724084
100030,1979,0.2187286801934831
100030,1980,0.22712415794012983
100030,1981,0.20370872010380048
100030,1982,0.19641247278575358
100030,1983,0.19289134522657803
100030,1984,0.14154063560292
100030,1985,0.13565258620603057
100030,1986,0.09010440748263761
100030,1987,0.07344026831358064
100030,1988,0.07041958111801738
100030,1989,0.07254063329157938
100030,1990,0.08029423819806218
100030,1991,0.04616632684543372
100030,1992,0.09540927922769354
100030,1993,0.13016854807730494
100030,1994,0.08896166724022331
100030,1995,0.11907537452611357
100030,1996,0.09796207093119981
100030,1997,0.08383957938386447
100030,1998,0.0648962194248659
100030,1999,0.0731537482999489
100030,2000,0.17340990487814
100030,2001,0.13487608272868423
100030,2002,0.12092277808641852
100030,2003,0.12042297010162424
100030,2004,0.11749826223104985
100030,2005,0.1078282878482645
100030,2006,0.07228902496227926
100030,2007,0.10602844052101251
100030,2008,0.14704004218325673
100030,2009,0.10241054816005107
100030,2010,0.1400629784944556
100030,2011,0.10901106589597662
100030,2012,0.19718101993175774
100030,2013,0.04574849509980484
100030,2014,0.21958994182767508
100030,2015,0.41660913436999203
100030,2016,0.30547339661418316
100030,2017,0.32469658366054294
100030,2018,0.2790511041755163
100030,2019,0.3320350854584767
100030,2020,0.12878264284942204
100030,2021,0.17834417847245176
100030,2022,0.290805293139595
100040x100050,1966,0.6319631793818864
100040x100050,1967,0.6226562941875154
100040x100050,1968,0.5647373930862438
100040x100050,1969,0.5925653361533565
100040x100050,1970,0.6381461333844569
100040x100050,1971,0.5625557435857863
100040x100050,1972,0.5902955170628407
100040x100050,1973,0.5647636437204537
100040x100050,1974,0.6466236408449387
100040x100050,1975,0.52986877405462
100040x100050,1976,0.5910139294504568
100040x100050,1977,0.47840673013422413
100040x100050,1978,0.4588896168808269
100040x100050,1979,0.3253038027144443
100040x100050,1980,0.2733253228276321
100040x100050,1981,0.2822073232731476
100040x100050,1982,0.37171061647598685
100040x100050,1983,0.4970100367125604
100040x100050,1984,0.5384635673684306
100040x100050,1985,0.4678663737464754
100040x100050,1986,0.5008007523987101
100040x100050,1987,0.4941672931905927
100040x100050,1988,0.5666076951503308
100040x100050,1989,0.6042589829499236
100040x100050,1990,0.5796599981381688
100040x100050,1991,0.5489082302024619
100040x100050,1992,0.4609859166185326
100040x100050,1993,0.4961263463411103
100040x100050,1994,0.5462773385159144
100040x100050,1995,0.45923029353461237
100040x100050,1996,0.4580567542309187
100040x100050,1997,0.4157175898272656
100040x100050,1998,0.44878250628244826
100040x100050,1999,0.43436277081415964
100040x100050,2000,0.4147901510111786
100040x100050,2001,0.42653570405625696
100040x100050,2002,0.4526204567891052
100040x100050,2003,0.3403694920379758
100040x100050,2004,0.38228195325992337
100040x100050,2005,0.39711505101246647
100040x100050,2006,0.3266943226212121
100040x100050,2007,0.3772595263038598
100040x100050,2008,0.4270038548271416
100040x100050,2009,0.37546904616323
100040x100050,2010,0.4184873405697256
100040x100050,2011,0.5547163560667118
100040x100050,2012,0.42581924306498403
100040x100050,2013,0.6566870234706921
100040x100050,2014,0.5053603896155769
100040x100050,2015,0.285267824092673
100040x100050,2016,0.4829038382855554
100040x100050,2017,0.5441677450810759
100040x100050,2018,0.4739175089865735
100040x100050,2019,0.46278649988175
100040x100050,2020,0.48793237963041247
100040x100050,2021,0.6322754760785225
100040x100050,2022,0.5312434128759088
