,ANVENDELSE,TID,tau
0,010000,1967,-0.012376348547397244
1,010000,1968,-0.016765221911755147
2,010000,1969,-0.022534431958120504
3,010000,1970,-0.0033629352047307307
4,010000,1971,-0.006270807687435648
5,010000,1972,-0.0065536906014796534
6,010000,1973,-0.05016087834590431
7,010000,1974,-0.05410047840097668
8,010000,1975,-0.06616575482004178
9,010000,1976,-0.058304544526032516
10,010000,1977,-0.05021539871611189
11,010000,1978,-0.05074618525792782
12,010000,1979,-0.05323004586501631
13,010000,1980,-0.04314427887468019
14,010000,1981,-0.03859202014209624
15,010000,1982,-0.0405893763614696
16,010000,1983,-0.049547599053512324
17,010000,1984,-0.05591334949890402
18,010000,1985,-0.05729976632651741
19,010000,1986,-0.042904946561738586
20,010000,1987,-0.05106828036356945
21,010000,1988,-0.033441144634928345
22,010000,1989,-0.017255780977874422
23,010000,1990,-0.029627824160146025
24,010000,1991,-0.02057591413180798
25,010000,1992,-0.030052951574620887
26,010000,1993,-0.0602612190160175
27,010000,1994,-0.061475366457765204
28,010000,1995,-0.06618511344601442
29,010000,1996,-0.06520418371129548
30,010000,1997,-0.054699245963768496
31,010000,1998,-0.06374963118107489
32,010000,1999,-0.06391965505005727
33,010000,2000,-0.059812410373560235
34,010000,2001,-0.06017928067352624
35,010000,2002,-0.02263715695396113
36,010000,2003,-0.01508006836761089
37,010000,2004,-0.013793160003791355
38,010000,2005,0.03383560277295392
39,010000,2006,0.03217811813128515
40,010000,2007,0.03976589936341497
41,010000,2008,0.03311214341133166
42,010000,2009,0.03643067428675549
43,010000,2010,0.03649052331917931
44,010000,2011,0.04017788297313743
45,010000,2012,0.03996296494602223
46,010000,2013,0.03747226874921513
47,010000,2014,0.03539683455782834
48,010000,2015,0.03391505636010023
49,010000,2016,0.03384317848897288
50,010000,2017,0.028406446652045513
51,010000,2018,0.029015032188875058
52,010000,2019,0.02737990844318172
53,010000,2020,0.026431837104599218
54,010000,2021,0.028306324325014256
55,010000,2022,0.024897035293036125
56,100010,1967,-0.001989068150186075
57,100010,1968,-0.0279070512236828
58,100010,1969,-0.026190567204060006
59,100010,1970,-0.026664453496299683
60,100010,1971,-0.042810542560904635
61,100010,1972,-0.04712159868017431
62,100010,1973,-0.004410053166651605
63,100010,1974,-0.009180993596487006
64,100010,1975,-0.0425232332072516
65,100010,1976,-0.012537923967520452
66,100010,1977,0.0015829805131625122
67,100010,1978,0.0019711246447854007
68,100010,1979,0.001720542870745371
69,100010,1980,0.0009044986673207246
70,100010,1981,0.0007253334751291954
71,100010,1982,0.0007389346736318492
72,100010,1983,0.0008916632991369655
73,100010,1984,0.0009972090657269696
74,100010,1985,0.0006694624977359771
75,100010,1986,0.00214998438892619
76,100010,1987,0.0003779201786545476
77,100010,1988,-0.011147631434923717
78,100010,1989,-0.0012793711079769415
79,100010,1990,0.000969785753577251
80,100010,1991,-0.002684321539986887
81,100010,1992,-0.0016289525486947426
82,100010,1993,0.000283302862400013
83,100010,1994,0.0008389544410462406
84,100010,1995,0.001188304349152009
85,100010,1996,0.0006671515575627021
86,100010,1997,-0.0004499164987896359
87,100010,1998,0.0023356189542044683
88,100010,1999,0.004086219019001739
89,100010,2000,0.002972612518202406
90,100010,2001,0.0027145184434421137
91,100010,2002,0.0029602475373500838
92,100010,2003,0.003686583183282288
93,100010,2004,0.003699342802312021
94,100010,2005,0.006156260466110376
95,100010,2006,0.004897699922323112
96,100010,2007,0.005678111775311203
97,100010,2008,0.00501197964251632
98,100010,2009,0.004995066036637102
99,100010,2010,0.005101709726737592
100,100010,2011,0.005591934789415673
101,100010,2012,0.009301951775115062
102,100010,2013,0.005215881342799343
103,100010,2014,0.005136301238992844
104,100010,2015,0.004594470864442439
105,100010,2016,0.004668350253931027
106,100010,2017,0.002985887287195594
107,100010,2018,0.0035477641770743727
108,100010,2019,0.0009548058053851558
109,100010,2020,0.0011019745752277302
110,100010,2021,0.001670729838646553
111,100010,2022,0.0019934756791418575
112,100030,1967,-0.07377460023202577
113,100030,1968,-0.09542555828256796
114,100030,1969,-0.10697200970931921
115,100030,1970,-0.16020773024404014
116,100030,1971,-0.20305004844011795
117,100030,1972,-0.12501697226120762
118,100030,1973,-0.01576090811699591
119,100030,1974,-0.001062224005662669
120,100030,1975,-0.0005222902122560342
121,100030,1976,5.428390700985379e-05
122,100030,1977,0.0042871869466094385
123,100030,1978,-0.007492458389635816
124,100030,1979,0.002419608168932846
125,100030,1980,0.004809440304421859
126,100030,1981,0.011887975769692985
127,100030,1982,0.008497839311234694
128,100030,1983,0.004370326731281965
129,100030,1984,0.0005723850228180046
130,100030,1985,-0.007660715507467706
131,100030,1986,-0.016109330180934755
132,100030,1987,-0.020621762435957713
133,100030,1988,0.0004209751609935603
134,100030,1989,0.01533404001643954
135,100030,1990,0.012265506309256028
136,100030,1991,0.012530026618191262
137,100030,1992,0.012454984864805764
138,100030,1993,0.0059271040399278595
139,100030,1994,0.006448507478413243
140,100030,1995,0.00655649416626757
141,100030,1996,0.0057203752934778815
142,100030,1997,0.010179183051959995
143,100030,1998,0.008411029232457205
144,100030,1999,0.009704814534940702
145,100030,2000,0.010927624086667592
146,100030,2001,0.010535298484624072
147,100030,2002,0.009816227036696611
148,100030,2003,0.00989809716443299
149,100030,2004,0.01028657870409278
150,100030,2005,0.01263139764603233
151,100030,2006,0.011013753629715784
152,100030,2007,0.011648999988071304
153,100030,2008,0.011326627511458975
154,100030,2009,0.012994470375873441
155,100030,2010,0.00882054118136454
156,100030,2011,0.012314740111063436
157,100030,2012,0.016969415017658026
158,100030,2013,0.012165260177661813
159,100030,2014,0.009052646982076692
160,100030,2015,0.00870056505594
161,100030,2016,0.008925485483950292
162,100030,2017,0.0059806452201687016
163,100030,2018,0.007293005184222096
164,100030,2019,0.0033154652786880952
165,100030,2020,0.004201671648438717
166,100030,2021,0.004996239185896343
167,100030,2022,0.004909026764516671
168,100040x100050,1967,0.009291939197896436
169,100040x100050,1968,0.011110270940269784
170,100040x100050,1969,0.008991201138818596
171,100040x100050,1970,0.008035292980286346
172,100040x100050,1971,0.008822319664183731
173,100040x100050,1972,0.02911987148646119
174,100040x100050,1973,0.0011928946722257715
175,100040x100050,1974,0.0028526292513465024
176,100040x100050,1975,0.01233902532023166
177,100040x100050,1976,0.006254041945819896
178,100040x100050,1977,0.0077523230538372595
179,100040x100050,1978,0.006595214261728269
180,100040x100050,1979,0.0018741760978805185
181,100040x100050,1980,-0.0031429541926360177
182,100040x100050,1981,-0.0013587845470722324
183,100040x100050,1982,-0.01089777114752037
184,100040x100050,1983,-0.0036787492767419603
185,100040x100050,1984,-0.016793170887342206
186,100040x100050,1985,-0.008613806662743523
187,100040x100050,1986,0.0029688681144261165
188,100040x100050,1987,-0.03296705490280513
189,100040x100050,1988,-0.02680858678966899
190,100040x100050,1989,0.001219815829233225
191,100040x100050,1990,-0.0029516975076542052
192,100040x100050,1991,0.0035182391368271428
193,100040x100050,1992,-0.012544848232655987
194,100040x100050,1993,-0.02793039094173141
195,100040x100050,1994,-0.01957854286404401
196,100040x100050,1995,-0.01780110821580495
197,100040x100050,1996,-0.019808686862462288
198,100040x100050,1997,-0.019061860258325583
199,100040x100050,1998,-0.018229397872884055
200,100040x100050,1999,-0.005053813112335302
201,100040x100050,2000,-0.00405413586724633
202,100040x100050,2001,-0.006910825895043114
203,100040x100050,2002,-0.06679755458434133
204,100040x100050,2003,-0.08944512703753096
205,100040x100050,2004,-0.07606371788690242
206,100040x100050,2005,0.03354543981588882
207,100040x100050,2006,0.021491797716069565
208,100040x100050,2007,0.020392073688064883
209,100040x100050,2008,0.03230561877536765
210,100040x100050,2009,0.02263896504875419
211,100040x100050,2010,0.028120606387542636
212,100040x100050,2011,0.03216194469371293
213,100040x100050,2012,0.046098477701161426
214,100040x100050,2013,0.03196945377565151
215,100040x100050,2014,0.028735416576769132
216,100040x100050,2015,0.02349466415986577
217,100040x100050,2016,0.02064342455428385
218,100040x100050,2017,0.017357082108301804
219,100040x100050,2018,0.016688063532445004
220,100040x100050,2019,0.010513199612144567
221,100040x100050,2020,0.00958841809712492
222,100040x100050,2021,0.011187018261600089
223,100040x100050,2022,0.010236804372205985
224,REST,1967,0.040221970643021424
225,REST,1968,0.04219426516370077
226,REST,1969,0.03989903224944989
227,REST,1970,0.039893190301261504
228,REST,1971,0.03813580822019392
229,REST,1972,0.041495702442242266
230,REST,1973,0.03233423009191822
231,REST,1974,0.03361109978482802
232,REST,1975,0.032247149417358435
233,REST,1976,0.038722787658887974
234,REST,1977,0.0449362631943314
235,REST,1978,0.05053676920419917
236,REST,1979,0.054072221379692656
237,REST,1980,0.05533903989755262
238,REST,1981,0.05428493072543811
239,REST,1982,0.05296645222115997
240,REST,1983,0.05410711579625417
241,REST,1984,0.03762190665597717
242,REST,1985,0.0420916537318794
243,REST,1986,0.055630994112067796
244,REST,1987,0.05931763831325661
245,REST,1988,0.061738964886538676
246,REST,1989,0.06297213902524197
247,REST,1990,0.06407007485720052
248,REST,1991,0.06491126122913111
249,REST,1992,0.06485942835365932
250,REST,1993,0.06476880989284166
251,REST,1994,0.0618114941797224
252,REST,1995,0.06024125823883061
253,REST,1996,0.06317459988336414
254,REST,1997,0.06616459657243597
255,REST,1998,0.07364798155723551
256,REST,1999,0.07342942256653473
257,REST,2000,0.06839257953269798
258,REST,2001,0.06892291302768531
259,REST,2002,0.07010881380014707
260,REST,2003,0.07090001213904185
261,REST,2004,0.07264833292887196
262,REST,2005,0.07146322850193332
263,REST,2006,0.06964062137323598
264,REST,2007,0.06736806402624092
265,REST,2008,0.06546805226861485
266,REST,2009,0.06910380803124866
267,REST,2010,0.07085638274052401
268,REST,2011,0.06908414779238967
269,REST,2012,0.06854978773623367
270,REST,2013,0.06799594280444082
271,REST,2014,0.06631738850327112
272,REST,2015,0.0642914571439622
273,REST,2016,0.06353821378143228
274,REST,2017,0.06155949735620294
275,REST,2018,0.06152286615195438
276,REST,2019,0.05835718975970501
277,REST,2020,0.059967875111420134
278,REST,2021,0.05901807727215958
279,REST,2022,0.05501432387103219
