ANVENDELSE,TID,P_Mtot,M_tot,P_KL,KL,P_JKL,JKL,P_MDtot,MD_tot,P_MFtot,MF_tot
010000,1967,0.1685772963406286,39152.71002249002,,,,,0.16326569165280183,31709.368622340047,0.20971671280452395,7091.847760298849
010000,1968,0.16812145697731906,38644.57944161462,,,,,0.16310161099380405,32928.92674250794,0.21168200421460545,5745.712794588522
010000,1969,0.1732230189750013,37593.99898774308,,,,,0.17014551068484304,32248.755655759967,0.21169951053505404,5426.611507492245
010000,1970,0.18577375927771675,39471.607984409005,,,,,0.18106170554364434,33058.03942378751,0.21611063151341137,6327.189876890178
010000,1971,0.19195108240495498,39983.957911778256,,,,,0.18740316990027484,32857.39511917919,0.22436365391344817,6935.156264660631
010000,1972,0.2095474878295714,39962.84606766945,,,,,0.2093199313512972,33005.83444395051,0.2223489011219934,6793.885611205205
010000,1973,0.259261517800604,43196.788690457586,,,,,0.2648118521901193,35820.6738918536,0.3036907382096264,7209.10691220613
010000,1974,0.2969115756462712,40618.77336290866,,,,,0.29896431013735647,33458.52886387761,0.3730887065676243,6964.670745210615
010000,1975,0.31635410285884025,41177.920192211524,,,,,0.3300864069253294,33491.348834915276,0.3660545040515738,7384.774589794801
010000,1976,0.3513832419615749,45043.075792814234,,,,,0.3666806502692515,35793.006776776136,0.39467550964830217,8786.972880811274
010000,1977,0.3829644452514711,44512.09560408799,,,,,0.3951139665652341,35058.20389093487,0.43430802444018385,8957.115183433089
010000,1978,0.39030696959445893,47524.47802629076,,,,,0.4133864213424134,37664.178589705734,0.40264216334979247,9361.627626477293
010000,1979,0.42278724280219626,49973.078326502065,,,,,0.44843473322121935,38926.52532645972,0.4379990172044318,10504.950511915085
010000,1980,0.48327172328599316,48724.640539469525,,,,,0.49957481346078153,37794.13311332243,0.5271300881410645,10397.530179558406
010000,1981,0.5587663630400095,47705.37341398866,,,,,0.5669180344544453,36016.02305639952,0.6343719656600901,11075.524109406626
010000,1982,0.6149181362571169,48742.203608493925,,,,,0.6297464051324924,36373.870201260994,0.6845029953157646,11681.327992306959
010000,1983,0.6541179178041507,49273.51953329335,,,,,0.6846997297421126,35806.568828695265,0.7053030075727726,12659.367540097644
010000,1984,0.6782012443441903,49171.62903799629,,,,,0.6976118840182214,36439.000800244445,0.7803232006404403,11981.334134787574
010000,1985,0.6642830622730104,50048.24883874025,,,,,0.7087982290779211,37083.24727926265,0.6941087494629721,12199.47451541485
010000,1986,0.6527582509301093,48849.04779765717,,,,,0.7108762767307416,35965.97022140343,0.6115292931596253,12127.350370547449
010000,1987,0.625469897567815,51120.16441452051,,,,,0.6964365216585962,38219.761847941074,0.5576030314050316,12044.057549467976
010000,1988,0.6429242514520653,47929.283940376416,,,,,0.6846509060684417,36463.26292527303,0.6338660163767871,10546.61052537982
010000,1989,0.6821043234340197,46710.236111092396,,,,,0.7152972444215823,34728.87976814143,0.6697734788012593,11120.83597775624
010000,1990,0.6512968711010493,48390.395222872474,,,,,0.7057544955491323,36019.18111796186,0.5967198461858252,11477.704393071508
010000,1991,0.6601528709314014,46706.77559350344,,,,,0.7099845682702856,34155.67757913326,0.6012980686868549,11778.807165416785
