TILGANG1,TILGANG2,ANVENDELSE,PRISENHED,TID,INDHOLD
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Lagre - (Anvendelse),Løbende priser,1987,-215.139
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1987,-273.688
Import inkl. told,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1987,734.377
Import inkl. told,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1987,718.931
Import inkl. told,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1987,0.0
Import inkl. told,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1987,0.0
Import inkl. told,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1987,0.05
Import inkl. told,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1987,0.055
Import inkl. told,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1987,232.56
Import inkl. told,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1987,225.888
Dansk produktion,100010 Slagterier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1988,32924.229
Dansk produktion,100010 Slagterier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1988,33168.082
Dansk produktion,100010 Slagterier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1988,77.162
Dansk produktion,100010 Slagterier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1988,77.683
Dansk produktion,100010 Slagterier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1988,0.084
Dansk produktion,100010 Slagterier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1988,0.092
Dansk produktion,100010 Slagterier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1988,5608.667
Dansk produktion,100010 Slagterier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1988,5662.035
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,570.125
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,570.071
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1987,80.838
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1987,83.308
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1987,32.056
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1987,44.183
Import inkl. told,100030 Mejerier-(Tilgang),Eksport - (Anvendelse),Løbende priser,1987,97.147
Import inkl. told,100030 Mejerier-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1987,97.113
Import inkl. told,100030 Mejerier-(Tilgang),Lagre - (Anvendelse),Løbende priser,1987,-61.08
Import inkl. told,100030 Mejerier-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1987,-56.81
Import inkl. told,100030 Mejerier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1987,48.357
Import inkl. told,100030 Mejerier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1987,44.145
Import inkl. told,100030 Mejerier-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1987,8.028
Import inkl. told,100030 Mejerier-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1987,7.541
Import inkl. told,100030 Mejerier-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1987,169.986
Import inkl. told,100030 Mejerier-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1987,165.815
Dansk produktion,100010 Slagterier-(Tilgang),Eksport - (Anvendelse),Løbende priser,1988,18007.02
Dansk produktion,100010 Slagterier-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1988,18237.84
Dansk produktion,100010 Slagterier-(Tilgang),Lagre - (Anvendelse),Løbende priser,1988,-7.282
Dansk produktion,100010 Slagterier-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1988,-7.971
Dansk produktion,100010 Slagterier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,283.586
Dansk produktion,100010 Slagterier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,254.805
Dansk produktion,100010 Slagterier-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1988,4376.681
Dansk produktion,100010 Slagterier-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1988,4344.792
Dansk produktion,100010 Slagterier-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1988,38.203
Dansk produktion,100010 Slagterier-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1988,43.047
Dansk produktion,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1967,3597.858
Dansk produktion,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1967,3438.832
Dansk produktion,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1967,4.835
Dansk produktion,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1967,4.569
Dansk produktion,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1967,0.015
Dansk produktion,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1967,0.024
Dansk produktion,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1967,1278.467
Dansk produktion,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1967,1218.075
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1967,11357.455
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1967,11577.539
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1967,-63.996
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1967,-113.715
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1967,0.023
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1967,0.037
Dansk produktion,100030 Mejerier-(Tilgang),Eksport - (Anvendelse),Løbende priser,1967,1511.693
Dansk produktion,100030 Mejerier-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1967,1466.114
Dansk produktion,100030 Mejerier-(Tilgang),Lagre - (Anvendelse),Løbende priser,1967,-153.231
Dansk produktion,100030 Mejerier-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1967,-158.349
Dansk produktion,100030 Mejerier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1967,360.103
Dansk produktion,100030 Mejerier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1967,342.344
Dansk produktion,100030 Mejerier-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1967,2.749
Dansk produktion,100030 Mejerier-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1967,3.025
Dansk produktion,100030 Mejerier-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1967,358.449
Dansk produktion,100030 Mejerier-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1967,338.899
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1967,871.958
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1967,902.535
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Løbende priser,1967,973.168
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1967,1099.111
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Lagre - (Anvendelse),Løbende priser,1967,248.511
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1967,256.437
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1967,1514.037
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1967,1474.229
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1967,4779.36
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1967,4938.059
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1967,2349.949
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1967,2294.106
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1980,6640.205
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1980,5952.66
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1980,-19.407
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1980,-16.08
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1980,0.071
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1980,0.063
Dansk produktion,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1988,21527.396
Dansk produktion,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1988,20607.819
Dansk produktion,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1988,30.635
Dansk produktion,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1988,29.13
Dansk produktion,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1980,15190.337
Dansk produktion,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1980,13416.356
Dansk produktion,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1980,10.788
Dansk produktion,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1980,9.488
Dansk produktion,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1980,0.047
Dansk produktion,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1980,0.04
Dansk produktion,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1980,3707.953
Dansk produktion,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1980,3329.985
Dansk produktion,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1988,0.082
Dansk produktion,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1988,0.086
Dansk produktion,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1988,4527.429
Dansk produktion,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1988,4349.235
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1980,1929.412
Import inkl. told,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1980,1751.879
Import inkl. told,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1980,503.722
Import inkl. told,100030 Mejerier-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1980,447.934
Import inkl. told,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1980,0.0
Import inkl. told,100030 Mejerier-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1980,0.0
Import inkl. told,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1980,0.025
Import inkl. told,100030 Mejerier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1980,0.021
Import inkl. told,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1980,158.687
Import inkl. told,100030 Mejerier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1980,139.282
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1988,52312.671
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Foregående års priser,1988,53473.909
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Løbende priser,1988,-149.904
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Faste bruttoinvesteringer ialt - (Anvendelse),Foregående års priser,1988,-130.938
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1988,0.187
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1988,0.199
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1988,2880.902
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1988,3551.854
Dansk produktion,100030 Mejerier-(Tilgang),Eksport - (Anvendelse),Løbende priser,1988,8894.437
Dansk produktion,100030 Mejerier-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1988,8458.507
Dansk produktion,100030 Mejerier-(Tilgang),Lagre - (Anvendelse),Løbende priser,1988,409.582
Dansk produktion,100030 Mejerier-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1988,553.618
Dansk produktion,100030 Mejerier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,363.794
Dansk produktion,100030 Mejerier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,359.154
Dansk produktion,100030 Mejerier-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1988,189.978
Dansk produktion,100030 Mejerier-(Tilgang),100010 Slagterier- (Anvendelse),Foregående års priser,1988,139.357
Dansk produktion,100030 Mejerier-(Tilgang),100030 Mejerier- (Anvendelse),Løbende priser,1988,4034.082
Dansk produktion,100030 Mejerier-(Tilgang),100030 Mejerier- (Anvendelse),Foregående års priser,1988,3850.864
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",Løbende priser,1980,37248.492
