TILGANG1,TILGANG2,ANVENDELSE,TID,Xt
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1990,7755.590713992552
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1991,7081.568879491976
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1992,7280.885508688506
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1993,10515.090586678867
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1994,10348.109377272314
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1995,10887.235158001136
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1996,11408.105730323254
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1997,11468.928474794662
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1998,11366.961466091943
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),1999,12541.534929802749
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2000,12348.996373900181
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2001,12041.645860608243
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2002,9058.266522646343
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2003,8867.12333396258
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2004,8841.975263954198
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2005,8334.139311488927
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2006,7874.449094041502
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2007,8006.357315244217
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2008,7154.764388429513
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2009,8391.921350100376
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2010,7695.733182403612
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2011,8802.566378135807
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2012,8841.327644818482
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2013,8488.23637157773
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2014,8629.949900159916
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2015,8966.467357519507
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2016,8806.051294962324
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2017,9287.712403566484
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2018,9343.746756497805
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2019,8965.859977372755
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2020,8830.27
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2021,9818.222
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),2022,11377.674096457078
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1967,15677.027798379426
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1968,14916.14075339711
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1969,14763.31899378678
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1970,15523.60178887393
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1971,15756.218575440502
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1972,14919.852706903139
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1973,15895.553595347305
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1974,15999.463106368874
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1975,16172.500913805703
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1976,15998.107076064009
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1977,16231.464235898991
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1978,16813.389320588405
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1979,18360.579779211243
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1980,19369.516446741047
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1981,19664.597975070952
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1982,19613.950377752677
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1983,21008.649823559128
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1984,21256.87688014652
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1985,21603.134267028356
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1986,22962.368228284973
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1987,22802.832535835896
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1988,21984.97009593748
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1989,21553.729678083422
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1990,22192.48575743627
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1991,23085.938216374143
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1992,25518.389473395673
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1993,27140.106164447297
